인덱스,누적_용량(Ah),절대값_용량(Ah),전류(A),전압(V),
463,0.061702395,0.061702395,0.479899292,1.530450439,
464,0.061835705,0.061835705,0.479961548,1.530910034,
465,0.061969017,0.061969017,0.479961548,1.531676025,
466,0.062102329,0.062102329,0.47993042,1.532288818,
467,0.06223564,0.06223564,0.479899292,1.532748413,
468,0.062368953,0.062368953,0.479961548,1.533361206,
469,0.062502264,0.062502264,0.47993042,1.533973999,
470,0.062635576,0.062635576,0.479899292,1.534280396,
471,0.062768888,0.062768888,0.47993042,1.535046387,
472,0.0629022,0.0629022,0.479899292,1.535505981,
473,0.063035511,0.063035511,0.479899292,1.536118774,
474,0.063168823,0.063168823,0.479899292,1.536731567,
475,0.063302133,0.063302133,0.47993042,1.537037964,
476,0.063435444,0.063435444,0.47993042,1.537650757,
477,0.063568757,0.063568757,0.47993042,1.53826355,
478,0.063702067,0.063702067,0.479899292,1.538569946,
479,0.063835378,0.063835378,0.479899292,1.539182739,
480,0.06396868,0.06396868,0.479619141,1.539642334,
481,0.064101901,0.064101901,0.479619141,1.540408325,
482,0.064235122,0.064235122,0.479588013,1.54086792,
483,0.064368342,0.064368342,0.479588013,1.541327515,
484,0.064501562,0.064501562,0.479588013,1.541787109,
485,0.064634781,0.064634781,0.479619141,1.542246704,
486,0.064768,0.064768,0.479588013,1.542859497,
487,0.064901221,0.064901221,0.479619141,1.543625488,
488,0.06503444,0.06503444,0.479588013,1.543778687,
489,0.065167659,0.065167659,0.479588013,1.544544678,
490,0.065300879,0.065300879,0.479556885,1.545157471,
491,0.065434099,0.065434099,0.479556885,1.545770264,
492,0.065567319,0.065567319,0.479588013,1.546229858,
493,0.065700538,0.065700538,0.479588013,1.546842651,
494,0.065833759,0.065833759,0.479556885,1.547302246,
495,0.065966979,0.065966979,0.479588013,1.547915039,
496,0.066100199,0.066100199,0.479588013,1.548374634,
497,0.066233418,0.066233418,0.479619141,1.548987427,
498,0.066366639,0.066366639,0.479588013,1.549447021,
499,0.066499858,0.066499858,0.479588013,1.549906616,
500,0.066633077,0.066633077,0.479588013,1.550366211,
501,0.066766298,0.066766298,0.479556885,1.550979004,
502,0.066899517,0.066899517,0.479588013,1.551591797,
503,0.067032737,0.067032737,0.479588013,1.552051392,
504,0.067165957,0.067165957,0.479588013,1.552817383,
505,0.067299175,0.067299175,0.479588013,1.553430176,
506,0.067432396,0.067432396,0.479619141,1.553889771,
507,0.067565614,0.067565614,0.479619141,1.554349365,
508,0.067698832,0.067698832,0.479588013,1.55480896,
509,0.067832051,0.067832051,0.479588013,1.555574951,
510,0.067965269,0.067965269,0.479619141,1.555881348,
511,0.068098487,0.068098487,0.479556885,1.556647339,
